benchmark_id,model_id,reference_model_type,reference_predicted_score,deployment_model_type,deployment_predicted_score,delta,abs_delta
b1,m005,joint,27.649826606942824,joint,27.649826606942824,0.0,0.0
b1,m021,joint,27.649826606942824,joint,27.649826606942824,0.0,0.0
b1,m025,joint,25.238629849741372,joint,25.238629849741372,0.0,0.0
b1,m031,joint,48.22881218424358,joint,48.22881218424358,0.0,0.0
b1,m033,joint,58.65514271173484,joint,58.65514271173484,0.0,0.0
b1,m057,joint,91.21385703231913,joint,91.21385703231913,0.0,0.0
b2,m005,joint,22.161550667365606,joint,22.161550667365606,0.0,0.0
b2,m021,joint,22.161550667365606,joint,22.161550667365606,0.0,0.0
b2,m025,joint,25.627475092119475,joint,25.627475092119475,0.0,0.0
b2,m031,joint,30.89840845297985,joint,30.89840845297985,0.0,0.0
b2,m033,joint,55.40752854425115,joint,55.40752854425115,0.0,0.0
b2,m057,joint,72.70832759043242,joint,72.70832759043242,0.0,0.0
b3,m005,joint,17.9862791543148,joint,17.9862791543148,0.0,0.0
b3,m021,joint,17.9862791543148,joint,17.9862791543148,0.0,0.0
b3,m025,joint,26.872552169924514,joint,26.872552169924514,0.0,0.0
b3,m031,joint,76.35322270636092,joint,76.35322270636092,0.0,0.0
b3,m033,joint,43.124492376801484,joint,43.124492376801484,0.0,0.0
b3,m057,joint,66.04282125798899,joint,66.04282125798899,0.0,0.0
