profile_id,k_final,best_available_test_rmse_mean,best_available_test_mae_mean,selected_items_final_mean,joint_available_rate,benchmark_warning_count_mean
minimal_cleaning,18,7.41123815371499,6.213834597152658,18.0,1.0,1.0
reconstruction_first,18,7.41123815371499,6.213834597152658,18.0,1.0,1.0
reconstruction_first_relaxed,18,7.41123815371499,6.213834597152658,18.0,1.0,1.0
minimal_cleaning,22,9.132050508429955,8.147271049849987,22.0,1.0,0.0
reconstruction_first,22,9.132050508429955,8.147271049849987,22.0,1.0,0.0
reconstruction_first_relaxed,22,9.132050508429955,8.147271049849987,22.0,1.0,0.0
minimal_cleaning,24,9.386049959085724,7.971404559516078,24.0,1.0,0.0
reconstruction_first,24,9.386049959085724,7.971404559516078,24.0,1.0,0.0
reconstruction_first_relaxed,24,9.386049959085724,7.971404559516078,24.0,1.0,0.0
minimal_cleaning,20,10.128793861891985,8.98719623778039,20.0,1.0,0.0
reconstruction_first,20,10.128793861891985,8.98719623778039,20.0,1.0,0.0
reconstruction_first_relaxed,20,10.128793861891985,8.98719623778039,20.0,1.0,0.0
