profile_id,k_preselect,best_available_test_rmse_mean,best_available_test_mae_mean,selected_items_final_mean,selected_items_preselect_mean,joint_available_rate,benchmark_warning_count_mean
minimal_cleaning,24,6.49879130364126,5.989629514966971,18.0,24.0,1.0,1.0
reconstruction_first,24,6.49879130364126,5.989629514966971,18.0,24.0,1.0,1.0
reconstruction_first_relaxed,24,6.49879130364126,5.989629514966971,18.0,24.0,1.0,1.0
minimal_cleaning,28,7.41123815371499,6.213834597152658,18.0,28.0,1.0,1.0
reconstruction_first,28,7.41123815371499,6.213834597152658,18.0,28.0,1.0,1.0
reconstruction_first_relaxed,28,7.41123815371499,6.213834597152658,18.0,28.0,1.0,1.0
minimal_cleaning,36,8.664443081672315,8.15150364006676,18.0,36.0,1.0,1.0
reconstruction_first,36,8.664443081672315,8.15150364006676,18.0,36.0,1.0,1.0
reconstruction_first_relaxed,36,8.664443081672315,8.15150364006676,18.0,36.0,1.0,1.0
minimal_cleaning,18,9.891599567161862,7.766856206795714,18.0,18.0,1.0,1.0
reconstruction_first,18,9.891599567161862,7.766856206795714,18.0,18.0,1.0,1.0
reconstruction_first_relaxed,18,9.891599567161862,7.766856206795714,18.0,18.0,1.0,1.0
minimal_cleaning,32,10.193448387236236,9.167178388463636,18.0,32.0,1.0,1.0
reconstruction_first,32,10.193448387236236,9.167178388463636,18.0,32.0,1.0,1.0
reconstruction_first_relaxed,32,10.193448387236236,9.167178388463636,18.0,32.0,1.0,1.0
minimal_cleaning,40,24.383432174278152,21.138890843517103,18.0,40.0,1.0,1.0
reconstruction_first,40,24.383432174278152,21.138890843517103,18.0,40.0,1.0,1.0
reconstruction_first_relaxed,40,24.383432174278152,21.138890843517103,18.0,40.0,1.0,1.0
