model_type,method,rmse_mean,rmse_std,mae_mean,pearson_mean,spearman_mean,runtime_mean_seconds,runs,seed_rmse_std,case_id,dataset_id,dataset_label,profile_id,family
joint,elastic_net,16.76902446433856,0.7732329317598353,13.714322656665567,0.8249774559663857,0.898645105261295,0.023982356548205845,3,0.7732329317598353,compact_baseline,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup
joint,gam,18.434243650378143,0.0,14.543378285870938,0.7864999119470258,0.898645105261295,0.05294025923487627,3,0.0,compact_baseline,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup
marginal,elastic_net,18.173475563807077,0.2987747757818445,15.61921090700413,0.7564945888260614,0.7700513795421217,0.018208708342475195,3,0.2987747757818445,compact_baseline,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup
marginal,gam,18.30675127166344,0.0,15.61361555149309,0.7519746610707013,0.7700513795421217,0.034754865660539105,3,0.0,compact_baseline,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup
joint,elastic_net,16.76902446433856,0.7732329317598353,13.714322656665567,0.8249774559663857,0.898645105261295,0.024171051000141434,3,0.7732329317598353,compact_winner,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup
joint,gam,18.434243650378143,0.0,14.543378285870938,0.7864999119470258,0.898645105261295,0.0576664214539859,3,0.0,compact_winner,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup
marginal,elastic_net,18.173475563807077,0.2987747757818445,15.61921090700413,0.7564945888260614,0.7700513795421217,0.019114666890042525,3,0.2987747757818445,compact_winner,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup
marginal,gam,18.30675127166344,0.0,15.61361555149309,0.7519746610707013,0.7700513795421217,0.034358222451474935,3,0.0,compact_winner,compact_validation_fixture,compact validation fixture,baseline_current,current_saved_setup
marginal,elastic_net,,,,,,0.12867419435901362,0,,large_baseline,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default
marginal,gam,,,,,,0.2121322360019096,0,,large_baseline,large_release_default_subset,large release-default real-data subset,baseline_current,psychometric_default
joint,gam,1.0023069521231638,0.00015238100595454826,0.6858317338128158,0.9976402283512641,0.9967939637398052,0.46696153233966065,3,0.00015238100595454826,large_winner,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,reconstruction_first_relaxed
joint,elastic_net,1.0432928600837401,0.0,0.7309143506145976,0.997449130425601,0.9966053379336236,0.6373908957660509,3,0.0,large_winner,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,reconstruction_first_relaxed
marginal,gam,1.077254483660516,0.0,0.7491311975347092,0.9973004072809616,0.9963265132651419,0.17289339104900137,3,0.0,large_winner,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,reconstruction_first_relaxed
marginal,elastic_net,1.105579102140459,0.0,0.7770370964929677,0.9971364784048847,0.9961711237037759,0.1536884167904241,3,0.0,large_winner,large_release_default_subset,large release-default real-data subset,reconstruction_relaxed,reconstruction_first_relaxed
