method,seed,benchmark_id,marginal_test_rmse,joint_test_rmse,best_available_test_rmse,stage04_runtime_seconds
random_cv,7,b1,14.156900614188125,14.571565342421493,14.571565342421493,0.8280908750602975
random_cv,7,b2,10.367677784628935,12.828151971643797,12.828151971643797,0.8280908750602975
random_cv,7,b3,8.056742747808661,7.828342026483096,7.828342026483096,0.8280908750602975
random_cv,11,b1,11.196583756258105,14.263648035811114,14.263648035811114,0.7447008750168607
random_cv,11,b2,13.778706354256952,15.111163426022681,15.111163426022681,0.7447008750168607
random_cv,11,b3,13.17913860147969,13.626785067140993,13.626785067140993,0.7447008750168607
random_cv,19,b1,19.72454169918378,21.052339134335188,21.052339134335188,0.7136193750193343
random_cv,19,b2,14.799461564056308,15.945734019438925,15.945734019438925,0.7136193750193343
random_cv,19,b3,10.555510280169827,10.292536984608915,10.292536984608915,0.7136193750193343
deterministic_info,7,b1,18.30675127166344,18.434243650378143,18.434243650378143,0.08631062507629395
deterministic_info,7,b2,10.367677784628935,12.71803276182826,12.71803276182826,0.08631062507629395
deterministic_info,7,b3,10.495484247014602,10.107254821002481,10.107254821002481,0.08631062507629395
deterministic_info,11,b1,11.09043169803263,10.121121697368329,10.121121697368329,0.08566691703163087
deterministic_info,11,b2,15.326342507285279,15.468090743441318,15.468090743441318,0.08566691703163087
deterministic_info,11,b3,12.757969223254358,11.595441118872182,11.595441118872182,0.08566691703163087
deterministic_info,19,b1,19.952644203944917,18.37187396163962,18.37187396163962,0.09061208402272314
deterministic_info,19,b2,14.839334904726634,15.024363398274039,15.024363398274039,0.09061208402272314
deterministic_info,19,b3,11.79990587864567,13.636125768087261,13.636125768087261,0.09061208402272314
