method,seed,benchmark_id,selected_items,selected_item_count
random_cv,7,b1,"[""b1_item_2"", ""b1_item_3"", ""b1_item_4"", ""b1_item_5""]",4
random_cv,7,b2,"[""b2_item_3"", ""b2_item_5"", ""b2_item_6"", ""b2_item_7""]",4
random_cv,7,b3,"[""b3_item_1"", ""b3_item_4"", ""b3_item_5"", ""b3_item_6""]",4
random_cv,11,b1,"[""b1_item_1"", ""b1_item_3"", ""b1_item_6"", ""b1_item_7""]",4
random_cv,11,b2,"[""b2_item_3"", ""b2_item_4"", ""b2_item_5"", ""b2_item_7""]",4
random_cv,11,b3,"[""b3_item_1"", ""b3_item_4"", ""b3_item_5"", ""b3_item_6""]",4
random_cv,19,b1,"[""b1_item_1"", ""b1_item_2"", ""b1_item_5"", ""b1_item_6""]",4
random_cv,19,b2,"[""b2_item_3"", ""b2_item_4"", ""b2_item_6"", ""b2_item_7""]",4
random_cv,19,b3,"[""b3_item_1"", ""b3_item_4"", ""b3_item_5"", ""b3_item_7""]",4
deterministic_info,7,b1,"[""b1_item_1"", ""b1_item_2"", ""b1_item_6"", ""b1_item_7""]",4
deterministic_info,7,b2,"[""b2_item_3"", ""b2_item_5"", ""b2_item_6"", ""b2_item_7""]",4
deterministic_info,7,b3,"[""b3_item_2"", ""b3_item_4"", ""b3_item_5"", ""b3_item_7""]",4
deterministic_info,11,b1,"[""b1_item_1"", ""b1_item_2"", ""b1_item_6"", ""b1_item_7""]",4
deterministic_info,11,b2,"[""b2_item_3"", ""b2_item_5"", ""b2_item_6"", ""b2_item_7""]",4
deterministic_info,11,b3,"[""b3_item_2"", ""b3_item_4"", ""b3_item_5"", ""b3_item_7""]",4
deterministic_info,19,b1,"[""b1_item_1"", ""b1_item_2"", ""b1_item_6"", ""b1_item_7""]",4
deterministic_info,19,b2,"[""b2_item_3"", ""b2_item_5"", ""b2_item_6"", ""b2_item_7""]",4
deterministic_info,19,b3,"[""b3_item_2"", ""b3_item_4"", ""b3_item_5"", ""b3_item_7""]",4
